,Return AMZN,Returns S&P
,0.8436858,-0.660834225
,-1.710090973,-3.288844091
,-2.940811754,-1.542664571
,4.925481512,4.303470364
,-0.63418436,-0.340307557
,2.580242242,1.36459925
,-1.809044613,-1.221950029
,-2.261636397,-1.897898078
,0.295218514,0.110875301
,-2.061286171,-1.429763127
,-1.347334157,-0.514346886
,-3.99561713,-3.975579582
,2.483320286,1.491263204
,-0.490115333,-1.299204634
,2.218892521,0.035387487
,-1.330290912,-0.567707858
,2.793185513,3.23473123
,-0.983508895,-1.245189288
,-1.78533172,-1.73143531
,2.460552945,2.551442816
,1.921098065,0.404319183
,-4.763750584,-3.501744193
,-0.620963678,-1.362446599
,-2.632500804,1.091626736
,-0.785636142,-0.595939713
,4.396855301,2.907984622
,-0.146198858,0.437011596
,0.648145343,-0.18062942
,2.401674476,2.322245007
,0.047297235,-0.055608925
,-0.799088865,0.128218607
,-0.047669634,0.13162644
,-2.641267104,-0.386429831
,-0.196034531,-1.620122456
,-0.70561584,-0.298993969
,-2.602528245,-1.694628353
,2.23131973,0.285528253
,-2.680224891,-0.20360101
,-8.122480319,-3.15082303
,0.596688777,-1.016445369
,1.543938572,-0.324571348
,-1.65383144,-0.467327173
,0.839420086,0.534472637
,3.016025311,3.085002306
,2.429904868,0.936865451
,0.890875334,0.717806382
,1.900635802,0.073263355
,3.405494353,1.52618229
,-0.283457564,-0.015514378
,-1.010772377,0.119538808
,-2.968415878,-2.924290916
,1.216308247,0.596406948
,0.133307802,1.135187374
,-2.248230106,-1.290269898
,2.223249467,2.22636877
,-1.004442181,0.818641997
,-0.396174489,1.113790909
,-1.078433587,-0.104990836
,0,-0.694603269
,-0.230775779,-0.41672926
,0.877533214,0.006349784
,1.832292822,2.178352809
,1.938283304,-0.480789427
,4.12858954,0.60328778
,0.195763734,-0.126932927
,0.382592684,-0.371091561
,0.396652266,0.546808674
,0.904072913,-0.598528119
,-3.212594862,-2.858340609
,0.530798638,-0.5393267
,-1.488581517,-0.403169039
,1.100663519,0.01204514
,2.188924323,1.211848944
,0.611191424,0.148168038
,-1.617323216,-1.708043558
,0.148828601,-0.366975441
,-0.912102565,-0.404849074
,-1.648585121,-1.461876814
,1.845862758,0.328394475
,-1.581215264,-0.771446625
,1.415529003,1.645071029
,-2.276181805,-1.482861123
,0.836623806,0.039071798
,5.955438093,2.907773638
,2.032196852,0.903985342
,2.613277179,1.313239363
,-1.137646438,-1.153749146
,1.389512876,0.641805922
,0.887245361,0.482065243
,1.456780553,0.485154493
,1.829556035,1.106912608
,0.467639243,-0.071337319
,-0.206046092,0.353488318
,1.825793603,-0.036440996
,0.128184866,0.082651443
,1.989249161,1.509528778
,-0.377451034,-0.256731344
,0.727135678,-0.48371728
,0.669560052,-0.836623996
,5.02688261,2.097291564
,-0.84974022,-0.568355339
,0.206852494,0.483866074
,-0.445569783,-0.259111314
,-1.22134534,-0.308848645
,-2.156012944,0.440671431
,1.087032359,-0.806738658
,3.465847496,2.064672277
,-3.4594155,-0.06722302
,0.55829067,-0.164787549
,-0.461806339,0.610361247
,-1.633326856,0.014582638
,2.229420666,0.381148431
,-0.840690352,0.709578551
,0.231735542,-0.364803219
,5.692263339,0.202543218
,-0.658138274,0.721763509
,-3.035332213,-1.600464444
,0,1.046908302
,3.893708411,0.17723371
,2.49040343,0.238640854
,-0.076896463,0.214467009
,0.560554357,0.001688554
,-1.446123736,-0.269421008
,-0.400777577,0.112421713
,-0.96968269,-0.043938336
,-1.616821783,0.094608562
,1.240884519,0.772933572
,2.317865252,0.367130674
,0.272668816,1.909930469
,1.083325883,0.391507906
,0.711871934,-0.212321016
,-1.005092874,-0.808489488
,1.781186757,0.436653397
,-1.722479028,-0.425114999
,-2.791433837,-1.187876614
,-4.178313905,-0.121817736
,-0.707338445,-1.633815726
,0.360615955,0.021214038
,3.609465325,1.524058305
,0.395154768,0.253715186
,3.323590955,-0.157660834
,-1.293619166,-1.438703214
,5.240743571,1.481271626
,-0.028214417,-0.749659212
,1.284050269,-0.137980972
,-2.30504782,-0.608871566
,0.653509364,2.138662188
,-0.011331143,1.273710016
,-0.482670946,0.259985431
,1.34003081,-0.129908225
,-0.72149514,0.051494768
,-0.271914859,0.369492551
,-0.820182877,0.383538381
,0.439404364,0.598370341
,-0.783149182,0.004831953
,-0.178062598,0.091054178
,0.932743999,-0.513561754
,1.397034118,0.616604599
,-0.258698196,0.083645441
,3.164833693,0.254511156
,0.793400004,0.601199422
,0.005409867,0.337385744
,-1.181447826,-0.164568155
,-0.246756359,0.06125092
,-0.578149348,0.077102683
,1.251181913,0.100863609
,-0.338684366,-0.150935737
,-1.516224774,-0.019080747
,2.31738501,1.125129378
,0.427914966,-0.13139247
,1.294222638,0.499467653
,-0.835836951,-0.212521436
,-0.199270832,-0.184648609
,-0.437643946,-0.137727518
,-0.184270287,0.371820589
,-0.141140027,0.896725422
,0.784613206,-0.171221111
,1.720679948,0.735740998
,1.315808458,0.137546481
,-2.316831153,-1.016716611
,-2.662624001,-0.129579826
,-2.526712935,0.241063774
,-0.321784224,0.581931505
,-0.084858723,0.026342786
,-0.744130228,0.421202401
,5.036634771,0.224179092
,-7.489647863,-1.801380524
,-0.880339044,0.76333497
,1.445527438,1.655579207
,0.821667625,-0.272623062
,0.103679307,0.235143283
,1.269886645,0.288011066
,0.28380086,0.622078257
,3.688979957,0.417602003
,1.216219245,-0.278965277
,0.48989572,0.074921203
,1.619378563,0.549226128
,0.616325604,0.238208474
,-0.732642102,-0.32401543
,-1.283129032,0.623793831
,0.60900879,0.307097131
,-0.673328583,0.192287268
,-3.314378394,-2.07422054
,-2.094730803,-0.613071502
,0.603792157,-0.099487133
,-0.287329414,1.049524794
,-2.253832328,0.554568009
,-2.24675576,-1.586486206
,1.511187872,0.161389762
